url_path,views_total,views_unique
/MimBinFikret/TelegramBasic/blob/main/main.py,8,2
/MimBinFikret/TelegramBasic,3,2
/MimBinFikret/TelegramBasic/tree/main/MimBinFikret/TelegramBasic,2,1
