url_path,views_total,views_unique
/MimBinFikret/TelegramBasic/blob/main/main.py,7,3
/MimBinFikret/TelegramBasic,4,3
/MimBinFikret/TelegramBasic/tree/main/MimBinFikret/TelegramBasic,2,1
